timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
1523025127,Uttar Pradesh,Agra,Achnera,Bajra(Pearl Millet/Cumbu),Deshi,06/04/2018,1070.0,1130.0,1100.0
1523025127,Uttar Pradesh,Agra,Achnera,Banana,Banana - Ripe,06/04/2018,1500.0,1540.0,1520.0
1523025127,Uttar Pradesh,Agra,Achnera,Barley (Jau),Dara,06/04/2018,1400.0,1440.0,1420.0
1523025127,Uttar Pradesh,Agra,Achnera,Bottle gourd,Bottle Gourd,06/04/2018,780.0,820.0,800.0
1523025127,Uttar Pradesh,Agra,Achnera,Brinjal,Brinjal,06/04/2018,600.0,640.0,620.0
1523025127,Uttar Pradesh,Agra,Achnera,Cabbage,Cabbage,06/04/2018,500.0,580.0,540.0
1523025127,Uttar Pradesh,Agra,Achnera,Cauliflower,Cauliflower,06/04/2018,610.0,650.0,630.0
1523025127,Uttar Pradesh,Agra,Achnera,Field Pea,Field Pea,06/04/2018,1200.0,1260.0,1230.0
1523025127,Uttar Pradesh,Agra,Achnera,Ginger(Green),Green Ginger,06/04/2018,2480.0,2520.0,2500.0
1523025127,Uttar Pradesh,Agra,Achnera,Green Chilli,Green Chilly,06/04/2018,2500.0,2560.0,2530.0
1523025127,Uttar Pradesh,Agra,Achnera,Gur(Jaggery),Pathari,06/04/2018,2830.0,2850.0,2840.0
1523025127,Uttar Pradesh,Agra,Achnera,Lime,Lime,06/04/2018,3400.0,3500.0,3450.0
1523025127,Uttar Pradesh,Agra,Achnera,Mustard,Sarson(Black),06/04/2018,3400.0,3600.0,3500.0
1523025127,Uttar Pradesh,Agra,Achnera,Onion,Red,06/04/2018,1180.0,1220.0,1200.0
1523025127,Uttar Pradesh,Agra,Achnera,Paddy(Dhan),Basmati 1509,06/04/2018,2800.0,3000.0,2900.0
1523025127,Uttar Pradesh,Agra,Achnera,Paddy(Dhan),Sugandha,06/04/2018,2400.0,2600.0,2500.0
1523025127,Uttar Pradesh,Agra,Achnera,Potato,Desi,06/04/2018,840.0,860.0,850.0
1523025127,Uttar Pradesh,Agra,Achnera,Pumpkin,Pumpkin,06/04/2018,900.0,960.0,930.0
1523025127,Uttar Pradesh,Agra,Achnera,Raddish,Raddish,06/04/2018,500.0,560.0,530.0
1523025127,Uttar Pradesh,Agra,Achnera,Rice,III,06/04/2018,2500.0,2540.0,2520.0
1523025127,Uttar Pradesh,Agra,Achnera,Spinach,Spinach,06/04/2018,500.0,580.0,540.0
1523025127,Uttar Pradesh,Agra,Achnera,Tomato,Tomato,06/04/2018,640.0,680.0,660.0
1523025127,Uttar Pradesh,Agra,Achnera,Wheat,Dara,06/04/2018,1600.0,1640.0,1620.0
1523025127,Uttar Pradesh,Agra,Agra,Arhar (Tur/Red Gram),Arhar (Whole),06/04/2018,3400.0,3700.0,3550.0
