timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
1523025126,Assam,Barpeta,Bohorihat,"Black Gram (Urd Beans)","Black Gram (Whole)",06/04/2018,2800,3000,2900
1523025126,Assam,Barpeta,Bohorihat,"Corriander seed","Coriander Seed",06/04/2018,3500,4000,3825
1523025126,Assam,Barpeta,Bohorihat,Jute,TD-5,06/04/2018,3200,3875,3825
1523025126,Assam,Barpeta,Bohorihat,Lentil(Masur),"Masoor Gola",06/04/2018,3400,3600,3500
1523025126,Assam,Barpeta,Bohorihat,Mustard,Mustard,06/04/2018,3550,3650,3600
1523025126,Assam,Barpeta,Bohorihat,Potato,Potato,06/04/2018,775,850,800
1523025126,Assam,Dhemaji,Silapathar,Lentil(Masur),"Masur Dal",06/04/2018,5500,6000,5700
1523025126,Assam,Dhemaji,Silapathar,"Wheat Atta","Wheat Atta",06/04/2018,2400,2600,2500
1523025126,Assam,Kamrup,"P.O. Uparhali Guwahati","Maida Atta","Maida Atta",06/04/2018,2360,2400,2380
1523025126,Assam,Kamrup,"P.O. Uparhali Guwahati",Potato,Potato,06/04/2018,1100,1180,1140
1523025126,Assam,Kamrup,"P.O. Uparhali Guwahati","Wheat Atta","Wheat Atta",06/04/2018,2300,2360,2330
1523025126,Assam,Nagaon,Dhing,"Green Chilli","Green Chilly",06/04/2018,1500,2000,1800
1523025126,Assam,Nagaon,Dhing,Jute,TD-5,06/04/2018,3000,3500,3400
1523025126,Assam,Nagaon,Dhing,"Maida Atta","Maida Atta",06/04/2018,2250,2460,2270
1523025126,Assam,Nagaon,Dhing,Mustard,Mustard,06/04/2018,3500,4000,3800
1523025126,Assam,Nagaon,Dhing,"Wheat Atta","Wheat Atta",06/04/2018,2120,2320,2230
1523025126,Assam,Nalbari,Nalbari,"Green Gram Dal (Moong Dal)","Green Gram Dal",06/04/2018,6200,7000,6600
1523025126,Assam,Nalbari,Nalbari,Lentil(Masur),"Masur Dal",06/04/2018,4600,4800,4700
1523025126,Assam,Nalbari,Nalbari,"Maida Atta","Maida Atta",06/04/2018,2400,2600,2500
1523025126,Assam,Nalbari,Nalbari,"Wheat Atta","Wheat Atta",06/04/2018,2300,2500,2400
1523025126,Assam,Sonitpur,Dhekiajuli,Jute,TD-5,06/04/2018,3600,3900,3900
1523025126,Chattisgarh,Bastar,Charama,Paddy(Dhan),Other,06/04/2018,1500,1500,1500
1523025126,Chattisgarh,Bilaspur,Takhatpur,"Bengal Gram(Gram)","Desi (Whole)",06/04/2018,3500,3500,3500
1523025126,Chattisgarh,Bilaspur,Takhatpur,Lak(Teora),"Lak (Whole)",06/04/2018,1500,1580,1550
1523025126,Chattisgarh,Bilaspur,Tiphra,Onion,Other,06/04/2018,1100,1300,1200
1523025126,Chattisgarh,Bilaspur,Tiphra,Potato,Other,06/04/2018,1100,1300,1200
1523025126,Chattisgarh,Bilaspur,Tiphra,Tomato,Other,06/04/2018,200,300,250
1523025126,Chattisgarh,Durg,Durg,Tinda,Other,06/04/2018,2000,2500,2250
1523025126,Chattisgarh,Janjgir,Akaltara,Paddy(Dhan),"Paddy Medium",06/04/2018,1615,1615,1615
1523025126,Chattisgarh,Janjgir,Amadula,Paddy(Dhan),"Paddy Coarse",06/04/2018,1500,1500,1500
1523025126,Chattisgarh,Janjgir,Champa,Paddy(Dhan),Paddy,06/04/2018,1500,1500,1500
1523025126,Chattisgarh,Janjgir,Chandrapur,Mahua,Other,06/04/2018,2500,2500,2500
1523025126,Chattisgarh,Janjgir,Kotmi,Mahua,Other,06/04/2018,2500,2500,2500
1523025126,Chattisgarh,Janjgir,Naila,Paddy(Dhan),Paddy,06/04/2018,1551,1555,1552
1523025126,Chattisgarh,Janjgir,Shakti,Paddy(Dhan),Paddy,06/04/2018,1550,1550,1550
1523025126,Chattisgarh,Mahasamund,Komakhan,Paddy(Dhan),Common,06/04/2018,1525,1530,1528
1523025126,Chattisgarh,Mahasamund,Komakhan,Paddy(Dhan),"Paddy fine",06/04/2018,1530,1530,1530
1523025126,Chattisgarh,"North Bastar",Lakhanpuri,Paddy(Dhan),Other,06/04/2018,1500,1500,1500
1523025126,Chattisgarh,"North Bastar",Narharpur,Paddy(Dhan),Other,06/04/2018,1400,1400,1400
1523025126,Chattisgarh,Rajnandgaon,Rajnandgaon,"Bhindi(Ladies Finger)",Bhindi,06/04/2018,1000,1000,1000
1523025126,Chattisgarh,Rajnandgaon,Rajnandgaon,Lemon,Lemon,06/04/2018,5400,5400,5400
1523025126,Chattisgarh,Rajnandgaon,Rajnandgaon,Tomato,Local,06/04/2018,200,200,200
1523025126,Chattisgarh,Surguja,Ambikapur,Mahua,Other,06/04/2018,2300,2300,2300
1523025126,Chattisgarh,Surguja,Ambikapur,Maize,Local,06/04/2018,1430,1430,1430
1523025126,Gujarat,Ahmedabad,Ahmedabad,"Bottle gourd",Other,06/04/2018,500,1000,750
1523025126,Gujarat,Ahmedabad,Ahmedabad,Brinjal,Other,06/04/2018,400,1000,750
1523025126,Gujarat,Ahmedabad,Ahmedabad,Carrot,Other,06/04/2018,500,1000,800
1523025126,Gujarat,Ahmedabad,Ahmedabad,"Green Chilli",Other,06/04/2018,500,2000,1350
1523025126,Gujarat,Ahmedabad,"Ahmedabad(Rajnagar sub yard)",Methi(Leaves),Other,06/04/2018,1200,2000,1700
1523025126,Gujarat,Ahmedabad,Dhandhuka,Cotton,"Shanker 6 (B) 30mm FIne",06/04/2018,3500,4360,3930
1523025126,Gujarat,Amreli,Amreli,"Bajra(Pearl Millet/Cumbu)",Other,06/04/2018,1245,1505,1405
1523025126,Gujarat,Amreli,Amreli,"Black Gram (Urd Beans)",Other,06/04/2018,3000,3750,3005
1523025126,Gujarat,Amreli,Amreli,"Castor Seed",Other,06/04/2018,3315,3775,3725
1523025126,Gujarat,Amreli,Amreli,"Chili Red",Red,06/04/2018,7425,12500,11450
1523025126,Gujarat,Amreli,Amreli,Cotton,Other,06/04/2018,3890,5235,4705
1523025126,Gujarat,Amreli,Amreli,"Cummin Seed(Jeera)",Other,06/04/2018,13000,15330,13975
1523025126,Gujarat,Amreli,Amreli,Jowar(Sorghum),Other,06/04/2018,2680,3200,3200
1523025126,Gujarat,Amreli,Amreli,"Methi Seeds",Other,06/04/2018,2125,2125,2125
1523025126,Gujarat,Amreli,Amreli,Mustard,Other,06/04/2018,3610,4250,3830
1523025126,Gujarat,Amreli,Amreli,"Sesamum(Sesame,Gingelly,Til)",Black,06/04/2018,6000,8190,7540
