crop,_2004_05,_2005_06,_2006_07,_2007_08,_2008_09,_2009_10,_2010_11,_2011_12
Rice,100,101,99,105,112,121,117,110
Wheat,100,101,112,115,117,127,120,108
"Coarse Cereals",100,107,110,115,113,123,122,136
Pulses,100,108,134,124,124,146,137,129
"Vegetables ",100,109,103,118,113,124,128,115
Fruits,100,99,99,98,102,104,114,119
Milk,100,97,98,98,98,112,123,124
"Eggs, Fish and Meat",100,102,101,100,99,116,133,137
Oilseeds,100,86,85,97,104,103,99,102
"Sugarcane ",100,96,91,87,80,81,109,107
Fibers,100,92,91,96,109,107,138,140
"All Agriculture",100,99,101,104,106,115,123,122
,,,,,,,,
